乙	fish guts/latter
一	one
人	person
入	enter
八	eight
七	seven
十	ten
丁	street
力	power
九	nine
刀	katana
了	complete/finish
二	two
又	or again/again
亡	deceased
士	gentleman/gentleman's
工	craft
土	soil
子	child
才	genius
寸	measurement
女	woman
乞	beg
凡	mediocre/ordinary
上	above/up
下	below/down
山	mountain
口	mouth
小	little/small
川	stream/river
干	dry
千	thousand
巾	()/towels
夕	evening
及	reach out/lead-up-to
己	self
久	long-time
与	bestow/give
弓	bow
丈	length
大	large/big
三	three
万	ten-thousand
丸	round
刃	blade
午	noon
牛	cow
王	king
区	ward/districts
凶	villain/evil
匹	equal
太	plump/fat
夫	husband
犬	dog
天	heavens/heaven
日	day/sun
月	month/moon
円	circle/yen
比	compare
匂	()/smell
仇	()/foe
化	change
水	water
木	tree
不	negative
尺	shaku/foot-length
中	in
戸	door
方	direction
切	cut
分	part
幻	phantasm/illusion
仏	buddha
公	public
支	branch/support
反	anti-/oppose
友	friend
文	sentence
父	father
厄	unlucky
収	income
五	five
井	well/water-wells
互	mutually/together
内	inside
欠	lack
火	fire
心	heart
今	now
乏	destitution/poverty
双	pair
牙	tusk/fangs
介	jammed in/jammed-in
片	one-sided
元	beginning/origin
六	six
氏	family name/surnames
冗	superfluous
止	stop
予	beforehand
弔	condolences
刈	reap/trim
毛	fur/hair
手	hand
引	pull
少	few
爪	claw/nails
叩	()/bash
右	right
古	old
石	stone/rocks
兄	elder-brother
召	seduce
叶	()/fulfills
占	fortune-telling
叱	()/scolded
加	add/adding
台	pedestal
申	speaketh/statement
由	wherefore/reason
甲	armor
田	ricefield
払	pay
広	wide/broad
弁	valve/speech
用	utilize
皿	dish/plate
冊	tome/book-volumes
旦	nightbreak/dawn
旧	old-times
白	white
目	eye
主	lord/master's
生	life
玉	jewel/ball
未	not-yet
末	extremity/end-of
半	half
失	lose
矢	dart
本	book
犯	crime
代	substitute
汁	soup
刊	publish
庁	government-office
令	orders
巨	gigantic
央	center
史	history
礼	salutation/salute
付	adhere/attach
札	tag
丼	()/bowls
他	other/another
世	generation
瓦	tile
丘	hill
北	north
巧	adroit/skillfully
写	copy
号	nickname/title
必	invariably/certain
氷	icicle/ice
永	eternity
四	four
母	mama/mothers
囚	captured
立	stand-up
平	even/flat
正	correct
幼	infancy/childhood
功	achievement
玄	mysterious/profound
市	market/city
左	left
布	linen/cloth
司	director
可	can
句	phrase
民	people
尻	()/buttocks
込	crowded
辺	environs/vicinity
仙	hermit
打	strike
矛	halberd/spear
圧	pressure
仕	attend/serving
去	gone
処	dispose
奴	guy
皮	pelt/leather
以	by-means-of
穴	hole
出	exit
外	outside
示	show
冬	winter
汚	dirty
汗	sweat
江	creek
年	year
羊	sheep
寺	buddhist-temple
多	many
各	each
名	name
光	rays-of-light
米	rice
先	before/previous
全	whole/all
企	undertake/plans
合	fit
会	meeting
百	hundred
早	early
自	oneself
耳	ear
再	again/second-time
両	both
西	west
毎	every
血	blood
曲	bend
因	cause
団	group
回	-times
叫	shout
扱	handle
吸	suck/inhale
吐	spit
忙	busy
竹	bamboo
州	state
任	responsibility
伝	transmit
件	affair/matter
争	contend/dispute
危	dangerous
色	color
好	fond/like
安	relax/cheap
妄	delusion
次	next
巡	patrol
迅	swift
糸	thread
灯	lamp
兆	portent
弛	()/droops
地	ground
池	pond
列	file/queue
刑	punish/punishment
死	death
守	guard/protect
宇	eaves/roof
宅	home
字	character
肉	meat
舟	boat
向	yonder/facing
同	same
尖	()/sharp
行	going/go
劣	inferiority/inferior
考	consider
旨	delicious
老	old man/grow-old
伐	fell/cut-down
休	rest
壮	robust/grand
旬	decameron/10-days
充	allot/fill
芝	turf/lawn
伏	prostrated/face-down
仰	faceup/look-up
仮	provisional/temporary
匠	artisan/craftsman
舌	tongue
吉	good-luck
如	likeness/as-if
仲	go-between/relationship
虫	insect
存	suppose/aware
有	possess/have
在	exist
朴	crude/simple
肌	texture/skin
朽	decay
机	desk
当	hit
印	stamp/symbol
羽	feathers/feather
至	climax/attain
式	style
衣	garment/clothes
共	together/jointly
缶	tin can/tin-cans
交	mingle/intersect
尽	exhaust/use-up
気	spirit
成	turn into/become
灰	ashes
妨	disturb
励	encourage
助	help
村	town/village
対	vis-a-vis/versus
肘	()/elbow
近	near
返	return
迎	welcome
走	run
廷	courts/court
足	leg/foot
良	good
卵	egg
即	instant
却	instead
見	see
児	newborn babe/infant
貝	shellfish
身	somebody
困	quandary/trouble
囲	surround
図	map/diagram
医	doctor/medicine
更	grow late/furthermore
伸	expand/extend
車	car
戻	re-/put-back
尾	tail
尿	urine
何	what
局	bureau
伺	pay respects/ask
材	lumber/materials
杖	()/cane
杉	cedar
庇	()/defend
批	criticism
屁	()/fart
序	preface
応	apply/respond
床	bed/floor
町	village/town
里	ri/hometown
男	man
含	include
余	too much/surplus
冷	cool
呑	()/swallow
豆	beans
呂	spine/articulate
臣	retainer/government-official
来	come
串	shish kebab/shish-kebab-skewers
弟	younger brother/younger-brother
妥	gentle/compromise
災	disaster
芯	()/central-part
芳	perfumed/fragrant
花	flower
芸	technique/art
完	perfect/complete
究	research
売	sell
赤	red
利	profit/benefit
別	separate
私	private
判	judgment
坂	slope
均	level/average
坊	boy
妙	exquisite/strange
妖	()/ghost
妊	pregnancy/pregnant
呆	()/shocked
克	overcome
束	bundle
技	skill/technique
抜	slip out/remove
岐	branch off/branch-off
忘	forget
志	intention
忍	endure/sneak
忌	mourning/detestable
決	decide
択	choose/select
沢	swamp
吠	()/bark
吹	blow
状	status quo/condition
汲	()/draws-water
汽	vapor/steam
沈	sink/submerge
似	similar
伴	consort/accompany
低	lower/low
佐	assistant
役	duty/role
投	throw
没	drown/sink
呈	display
狂	lunatic/crazy
弄	()/mess-around-with
改	reformation/renew
攻	aggression/assault
快	cheerful/pleasant
努	toil/effort
労	labor
秀	excel
否	negate/refuse
告	revelation/inform
谷	valley
声	voice
君	old boy/you
把	grasp
求	request
条	twig/clause
寿	longevity
麦	barley/wheat
初	first-time
乱	riot/disorder
社	company/shrine
言	say
角	angle
肖	resemblance/portrait
抗	confront/protest
折	fold
抑	repress/restrain
位	rank
住	dwell/reside
体	body
作	make
戒	commandment/warn
形	shape
我	ego/my
希	hope
系	lineage/system
辛	spicy
兵	soldier
邦	home country/home-country
防	ward off/prevent
肝	liver
押	push
呻	()/groan
果	fruit/accomplish
尚	esteem/still
画	brush stroke/drawing
雨	rain
周	circumference/surroundings
妬	()/jealous
拓	clear the land/clear-the-land
岩	boulder
協	co-/cooperation
拗	()/distort
効	merit/effect
抽	pluck/extract
油	oil
宙	mid-air
届	deliver
炊	cook
炎	inflammation/flames
炉	hearth/fireplace
昔	once upon a time/long-ago
昏	()/dusk
者	someone
的	bull's eye/target
泊	overnight/stay-overnight
拍	clap/music-beat
迫	urge/imminent
肯	agreement/agree
育	bring up/raise-a-child
肩	shoulder
青	blue
枢	hinge/pivot
殴	assault/punch
欧	europe
拒	repel/reject
肪	obese/fatty
肢	limb
肥	fertilizer
股	()/crotch
明	bright
服	clothing
突	stab/poke
定	determine
空	empty
宝	treasure
房	tassel/chambers
居	reside/residence
刷	printing/print
泥	mud
姉	older-sister
妹	younger-sister
始	commence/start
事	matter/things
妻	wife
垂	droop/dangling
知	know
委	committee/entrust
和	harmony
呼	call
呟	()/mutter
呪	()/curse
味	flavor
拡	broaden/expand
拝	worship
抹	rub
招	beckon/invites
沼	marsh
拐	kidnap/kidnapped
到	arrival/arrives
制	system/structure
刻	engrave/carve
刺	thorn/stab
毒	poison
取	take
侮	scorn/despise
邪	wicked
阻	thwart/impede
邸	residence/mansion
況	but of course/situation
治	reign/cure
泳	swim
沸	seethe/boiling
併	join/combine
供	submit/offer
価	value
受	accept
学	study
乳	milk
宜	best regards/fine
狙	()/aim
直	straightaway/directly
具	tool
祈	pray/praying
析	chop/analyze
所	place
彼	he
披	expose/presentation
版	printing block/edition
波	waves
枕	()/pillow
枠	frame
板	plank/board
岸	beach/coast
拙	bungling/incompetent
屈	yield/crouched
若	young
苦	suffering/suffers
店	store
英	england/english
東	east
典	code/ceremony
苗	seedling
松	pine tree/pine-trees
林	grove/woods
杯	cupfuls/cups
法	method
沿	run alongside/alongside
泡	bubble
金	gold
命	fate/lifeforce
舎	cottage/buildings
念	wish/desire
武	warrior/battle-strength
延	prolong
些	()/slight
依	reliant/depends-on
使	use
例	example
夜	night
卒	graduate
京	capital
怯	()/frightened
怖	dreadful/scary
怪	suspicious
径	diameter
性	sex/nature-of
姓	surname/family-name
往	journey/go-out
注	pour
枚	sheet of/sheets-of
枝	bough/branches
放	set free/release
府	municipality/province
抵	resist/defying
底	bottom
物	thing/object
忽	()/immediately
忠	loyalty
易	easy
承	acquiesce/assent
参	visit
季	seasons/season
実	reality/truth
宗	religion
官	bureaucrat/government
宛	address/addressed-to
祉	welfare/well-being
歩	walk
征	subjugate/conquer
奇	strange/odd
河	river/stream
斉	adjusted/simultaneously
苛	()/torments
茂	overgrown/grows-thick
芽	bud/sprouts
茎	stalk/stems
盲	blind
昆	descendants/bugs
昇	rise up/ascend
卓	eminent/table
担	shouldering/manager
抱	embrace
拘	arrest/confine
拠	foothold/basis
券	ticket
奔	bustle/wild
虎	tiger
並	row/line-up
述	mention/express
泣	cry/cries
免	excuse
弦	bowstring/string-instrument
侍	waiter/samurai
玩	()/toy
非	un-/not
固	harden/firm
門	gates
国	country
表	surface
奉	dedicate/volunteer
長	long
幸	happiness
訂	revise
訃	()/obituary
計	plot/measure
郎	son/young-man
恨	resentment/resents
限	limit
郊	outskirts/suburbs
型	mould/type
剃	()/shaves
則	rule
削	plane/scraping-off
変	unusual
哀	pathetic/pity
亭	pavilion/inn
貞	upright/virgin
頁	page
負	defeat/defeated
赴	proceed
施	alms/execute
甚	tremendously/immense
政	politics
卸	wholesale
歪	()/warp
是	just so/righteous
送	send off/send
迷	astray/lost
逃	escape
前	in front/before
面	mask
首	neck
皇	emperor
星	star
牲	animal sacrifice/animal-sacrifice
奏	play music/play-an-instrument
巻	scroll/roll
美	beauty/beautiful
為	do/for
県	prefecture
点	spot/point
珍	rare
叙	confer/describe
食	eat
炭	charcoal
幽	faint/hazy
峠	mountain pass/peak
品	goods
飛	fly
盆	basin/tray
垢	()/filth
垣	hedge/bamboo-fence
城	castle
拭	()/wipe
拷	torture
挑	challenge
疫	epidemic
段	grade/steps
度	degrees
咲	blossom/bloom
咽	()/choke
咳	()/cough
革	leather/reform
帝	sovereign/empire
南	south
風	wind
殆	()/almost
故	happenstance/circumstances
軌	rut/track
俗	vulgar/customary
促	stimulate/motivate
俄	()/suddenly
侵	encroach/invading
契	pledge
臭	stinking/smelly
泉	spring
専	specialty/specialize
封	seal/sealing
耐	-proof/endure
厚	thick
威	intimidate/authority
虐	tyrannize/cruel
盾	shield
査	investigate/investigation
看	watch over/look-after
恰	()/as-though
悔	repent/regrets
恒	constancy/unchanging
某	so-and-so/anonymous
架	erect/construct
柔	tender/soft
染	dye/dyed
信	faith/believe
便	convenience/convenient
係	person in charge/clerk
保	protect/preserves
退	retreat
逆	inverted/reverse
追	chase
砕	smash
砂	sand
研	polish/sharpen
窃	stealth/stealthy
宥	()/soothed
宣	proclaim/proclaiming
畑	farm/field
背	stature/back
胃	stomach
怒	angry
怨	grudge
怠	neglect/lazy
急	hurry
括	fasten/tie-together
指	finger
拾	pick up/pick-up
浄	clean
洞	den/cave
海	sea
虹	rainbow
狩	hunt
紅	crimson
独	single/alone
活	lively
派	faction/clique
洗	wash
浅	shallow
洪	deluge/floods
洋	ocean/western
昧	()/unclear
昨	yesterday
昭	shining
映	reflect/reflected
約	promise/promised
級	class
紀	chronicle/century
律	rhythm/law
建	build
津	haven/seaport
皆	all/everyone
音	sound
香	incense/fragrance
春	springtime
軍	army
栄	flourish/prospers
冠	crown
後	behind/after
待	wait/waited
持	hold
穿	()/digs
客	guest
室	room
屋	roof/shop
屍	()/corpses
昼	daytime
卑	lowly
