一	one,1
二	two,2
三	three,3
四	four,4
五	five,5
六	six,6
七	seven,7
八	eight,8
九	nine,9
十	ten,10
口	mouth,11
日	day,12
月	month,13
田	rice field,14
目	eye,15
古	old,16
吾	I,17
冒	risk,18
朋	companion,19
明	bright,20
唱	chant,21
晶	sparkle,22
品	goods,23
呂	spine,24
昌	prosperous,25
早	early,26
旭	rising sun,27
世	generation,28
胃	stomach,29
旦	nightbreak,30
胆	gall bladder,31
亘	span,32
凹	concave,33
凸	convex,34
旧	olden times,35
自	oneself,36
白	white,37
百	hundred,38
中	in,39
千	thousand,40
舌	tongue,41
升	measuring box,42
昇	rise up,43
丸	round,44
寸	measurement,45
専	specialty,46
博	Dr.,47
占	fortune-telling,48
上	above,49
下	below,50
卓	eminent,51
朝	morning,52
只	only,53
貝	shellfish,54
貞	upright,55
員	employee,56
見	see,57
児	newborn babe,58
元	beginning,59
頁	page,60
頑	stubborn,61
凡	mediocre,62
負	defeat,63
万	ten thousand,64
句	phrase,65
肌	texture,66
旬	decameron,67
勺	ladle,68
的	bull's eye,69
首	neck,70
乙	fish guts,71
乱	riot,72
直	straightaway,73
具	tool,74
真	true,75
工	craft,76
左	left,77
右	right,78
有	possess,79
賄	bribe,80
貢	tribute,81
項	paragraph,82
刀	sword,83
刃	blade,84
切	cut,85
召	seduce,86
昭	shining,87
則	rule,88
副	vice-,89
別	separate,90
丁	street,91
町	village,92
可	can,93
頂	place on the head,94
子	child,95
孔	cavity,96
了	complete,97
女	woman,98
好	fond,99
如	likeness,100
母	mama,101
貫	pierce,102
兄	elder brother,103
克	overcome,104
小	little,105
少	few,106
大	large,107
多	many,108
夕	evening,109
汐	eventide,110
外	outside,111
名	name,112
石	stone,113
肖	resemblance,114
硝	nitrate,115
砕	smash,116
砂	sand,117
削	plane,118
光	ray,119
太	plump,120
器	utensil,121
臭	stinking,122
妙	exquisite,123
省	focus,124
厚	thick,125
奇	strange,126
川	stream,127
州	state,128
順	obey,129
水	water,130
氷	icicle,131
永	eternity,132
泉	spring,133
原	meadow,134
願	petition,135
泳	swim,136
沼	marsh,137
沖	open sea,138
江	creek,139
汁	soup,140
潮	tide,141
源	source,142
活	lively,143
消	extinguish,144
況	but of course,145
河	river,146
泊	overnight,147
湖	lake,148
測	fathom,149
土	soil,150
吐	spit,151
圧	pressure,152
埼	cape,153
垣	hedge,154
圭	squared jewel,155
封	seal,156
涯	horizon,157
寺	Buddhist temple,158
時	time,159
均	level,160
火	fire,161
炎	inflammation,162
煩	anxiety,163
淡	thin,164
灯	lamp,165
畑	farm,166
災	disaster,167
灰	ashes,168
点	spot,169
照	illuminate,170
魚	fish,171
漁	fishing,172
里	ri,173
黒	black,174
墨	black ink,175
鯉	carp,176
量	quantity,177
厘	rin,178
埋	bury,179
同	same,180
洞	den,181
胴	trunk,182
向	yonder,183
尚	esteem,184
字	character,185
守	guard,186
完	perfect,187
宣	proclaim,188
宵	wee hours,189
安	relax,190
宴	banquet,191
寄	draw near,192
富	wealth,193
貯	savings,194
木	tree,195
林	grove,196
森	forest,197
桂	Japanese Judas-tree,198
柏	oak,199
枠	frame,200
梢	treetops,201
棚	shelf,202
杏	apricot,203
桐	paulownia,204
植	plant,205
枯	wither,206
朴	crude,207
村	town,208
相	inter-,209
机	desk,210
本	book,211
札	tag,212
暦	calendar,213
案	plan,214
燥	parch,215
未	not yet,216
末	extremity,217
沫	splash,218
味	flavor,219
妹	younger sister,220
朱	vermilion,221
株	stocks,222
若	young,223
草	grass,224
苦	suffering,225
寛	tolerant,226
薄	dilute,227
葉	leaf,228
模	imitation,229
漠	vague,230
墓	grave,231
暮	livelihood,232
膜	membrane,233
苗	seedling,234
兆	portent,235
桃	peach tree,236
眺	stare,237
犬	dog,238
状	status quo,239
黙	silence,240
然	sort of thing,241
荻	reed,242
狩	hunt,243
猫	cat,244
牛	cow,245
特	special,246
告	revelation,247
先	before,248
洗	wash,249
介	jammed in,250
界	world,251
茶	tea,252
合	fit,253
塔	pagoda,254
王	king,255
玉	jewel,256
宝	treasure,257
珠	pearl,258
現	present,259
狂	lunatic,260
皇	emperor,261
呈	display,262
全	whole,263
栓	plug,264
理	logic,265
主	lord,266
注	pour,267
柱	pillar,268
金	gold,269
銑	pig iron,270
鉢	bowl,271
銅	copper,272
釣	angling,273
針	needle,274
銘	inscription,275
鎮	tranquillize,276
道	road-way,277
導	guidance,278
辻	crossing,279
迅	swift,280
造	create,281
迫	urge,282
逃	escape,283
辺	environs,284
巡	patrol,285
車	car,286
連	take along,287
軌	rut,288
輸	transport,289
前	in front,290
各	each,291
格	status,292
略	abbreviation,293
客	guest,294
額	forehead,295
夏	summer,296
処	dispose,297
条	twig,298
落	fall,299
冗	superfluous,300
軍	army,301
輝	radiance,302
運	carry,303
冠	crown,304
夢	dream,305
坑	pit,306
高	tall,307
享	receive,308
塾	cram school,309
熟	mellow,310
亭	pavilion,311
京	capital,312
涼	refreshing,313
景	scenery,314
鯨	whale,315
舎	cottage,316
周	circumference,317
週	week,318
士	gentleman,319
吉	good luck,320
壮	robust,321
荘	villa,322
売	sell,323
学	study,324
覚	memorize,325
栄	flourish,326
書	write,327
津	haven,328
牧	breed,329
攻	aggression,330
敗	failure,331
枚	sheet of,332
故	happenstance,333
敬	awe,334
言	say,335
警	admonish,336
計	plot,337
獄	prison,338
訂	revise,339
討	chastise,340
訓	instruction,341
詔	imperial edict,342
詰	packed,343
話	tale,344
詠	recitation,345
詩	poem,346
語	word,347
読	read,348
調	tune,349
談	discuss,350
諾	consent,351
諭	rebuke,352
式	style,353
試	test,354
弐	II (two),355
域	range,356
賊	burglar,357
栽	plantation,358
載	load,359
茂	overgrown,360
成	turn into,361
城	castle,362
誠	sincerity,363
威	intimidate,364
滅	destroy,365
減	dwindle,366
桟	scaffold,367
銭	coin,368
浅	shallow,369
止	stop,370
歩	walk,371
渉	ford,372
頻	repeatedly,373
肯	agreement,374
企	undertake,375
歴	curriculum,376
武	warrior,377
賦	levy,378
正	correct,379
証	evidence,380
政	politics,381
定	determine,382
錠	lock,383
走	run,384
超	transcend,385
赴	proceed,386
越	surpass,387
是	just so,388
題	topic,389
堤	dike,390
建	build,391
延	prolong,392
誕	nativity,393
礎	cornerstone,394
婿	bridegroom,395
衣	garment,396
裁	tailor,397
装	attire,398
裏	back,399
壊	demolition,400
哀	pathetic,401
遠	distant,402
猿	monkey,403
初	first time,404
布	linen,405
帆	sail,406
幅	hanging scroll,407
帽	cap,408
幕	curtain,409
幌	canopy,410
錦	brocade,411
市	market,412
姉	elder sister,413
肺	lungs,414
帯	sash,415
滞	stagnate,416
刺	thorn,417
制	system,418
製	made in...,419
転	revolve,420
芸	technique,421
雨	rain,422
雲	cloud,423
曇	cloudy weather,424
雷	thunder,425
霜	frost,426
冬	winter,427
天	heavens,428
橋	bridge,429
嬌	attractive,430
立	stand up,431
泣	cry,432
章	badge,433
競	vie,434
帝	sovereign,435
童	juvenile,436
瞳	pupil,437
鐘	bell,438
商	make a deal,439
嫡	legitimate wife,440
適	suitable,441
滴	drip,442
敵	enemy,443
匕	spoon,444
北	north,445
背	stature,446
比	compare,447
昆	descendants,448
皆	all,449
混	mix,450
渇	thirst,451
謁	audience,452
褐	brown,453
喝	hoarse,454
旨	delicious,455
脂	fat,456
壱	I (one),457
毎	every,458
敏	cleverness,459
梅	plum,460
海	sea,461
乞	beg,462
乾	drought,463
腹	abdomen,464
複	duplicate,465
欠	lack,466
吹	blow,467
炊	cook,468
歌	song,469
軟	soft,470
次	next,471
茨	briar,472
資	assets,473
姿	figure,474
諮	consult with,475
賠	compensation,476
培	cultivate,477
剖	divide,478
音	sound,479
暗	darkness,480
韻	rhyme,481
識	discriminating,482
鏡	mirror,483
境	boundary,484
亡	deceased,485
盲	blind,486
妄	delusion,487
荒	laid waste,488
望	ambition,489
方	direction,490
妨	disturb,491
坊	boy,492
芳	perfumed,493
肪	obese,494
訪	call on,495
放	set free,496
激	violent,497
脱	undress,498
説	explanation,499
鋭	pointed,500
曽	formerly,501
増	increase,502
贈	presents,503
東	east,504
棟	ridgepole,505
凍	frozen,506
妊	pregnancy,507
廷	courts,508
染	dye,509
燃	burn,510
賓	V.I.P.,511
歳	year-end,512
県	prefecture,513
栃	horse chestnut,514
地	ground,515
池	pond,516
虫	insect,517
蛍	lightning bug,518
蛇	snake,519
虹	rainbow,520
蝶	butterfly,521
独	single,522
蚕	silkworm,523
風	wind,524
己	self,525
起	rouse,526
妃	queen,527
改	reformation,528
記	scribe,529
包	wrap,530
胞	placenta,531
砲	cannon,532
泡	bubble,533
亀	tortoise,534
電	electricity,535
竜	dragon,536
滝	waterfall,537
豚	pork,538
逐	pursue,539
遂	consummate,540
家	house,541
嫁	marry into,542
豪	overpowering,543
腸	intestines,544
場	location,545
湯	hot water,546
羊	sheep,547
美	beauty,548
洋	ocean,549
詳	detailed,550
鮮	fresh,551
達	accomplished,552
羨	envious,553
差	distinction,554
着	don,555
唯	solely,556
焦	char,557
礁	reef,558
集	gather,559
准	quasi-,560
進	advance,561
雑	miscellaneous,562
雌	female,563
準	semi-,564
奮	stirred up,565
奪	rob,566
確	assurance,567
午	noon,568
許	permit,569
歓	delight,570
権	authority,571
観	outlook,572
羽	feathers,573
習	learn,574
翌	the following,575
曜	weekday,576
濯	laundry,577
曰	sayeth,578
困	quandary,579
固	harden,580
国	country,581
団	group,582
因	cause,583
姻	matrimony,584
園	park,585
回	-times,586
壇	podium,587
店	store,588
庫	warehouse,589
庭	courtyard,590
庁	government office,591
床	bed,592
麻	hemp,593
磨	grind,594
心	heart,595
忘	forget,596
忍	endure,597
認	acknowledge,598
忌	mourning,599
志	intention,600
誌	document,601
忠	loyalty,602
串	shish kebab,603
患	afflicted,604
思	think,605
恩	grace,606
応	apply,607
意	idea,608
想	concept,609
息	breath,610
憩	recess,611
恵	favor,612
恐	fear,613
惑	beguile,614
感	emotion,615
憂	melancholy,616
寡	widow,617
忙	busy,618
悦	ecstasy,619
恒	constancy,620
悼	lament,621
悟	enlightenment,622
怖	dreadful,623
慌	disconcerted,624
悔	repent,625
憎	hate,626
慣	accustomed,627
愉	pleasure,628
惰	lazy,629
慎	humility,630
憾	remorse,631
憶	recollection,632
慕	pining,633
添	annexed,634
必	invariably,635
泌	ooze,636
手	hand,637
看	watch over,638
摩	chafe,639
我	ego,640
義	righteousness,641
議	deliberation,642
犠	sacrifice,643
抹	rub,644
抱	embrace,645
搭	board,646
抄	extract,647
抗	confront,648
批	criticism,649
招	beckon,650
拓	clear the land,651
拍	clap,652
打	strike,653
拘	arrest,654
捨	discard,655
拐	kidnap,656
摘	pinch,657
挑	challenge,658
指	finger,659
持	hold,660
括	fasten,661
揮	brandish,662
推	conjecture,663
揚	hoist,664
提	propose,665
損	damage,666
拾	pick up,667
担	shouldering,668
拠	foothold,669
描	sketch,670
操	maneuver,671
接	touch,672
掲	put up a notice,673
掛	hang,674
研	polish,675
戒	commandment,676
械	contraption,677
鼻	nose,678
刑	punish,679
型	mould,680
才	genius,681
財	property,682
材	lumber,683
存	suppose,684
在	exist,685
乃	from,686
携	portable,687
及	reach out,688
吸	suck,689
扱	handle,690
丈	length,691
史	history,692
吏	officer,693
更	grow late,694
硬	stiff,695
又	or again,696
双	pair,697
桑	mulberry,698
隻	vessels,699
護	safeguard,700
獲	seize,701
奴	guy,702
怒	angry,703
友	friend,704
抜	slip out,705
投	throw,706
没	drown,707
設	establishment,708
撃	beat,709
殻	husk,710
支	branch,711
技	skill,712
枝	bough,713
肢	limb,714
茎	stalk,715
怪	suspicious,716
軽	lightly,717
叔	uncle,718
督	coach,719
寂	loneliness,720
淑	graceful,721
反	anti-,722
坂	slope,723
板	plank,724
返	return,725
販	marketing,726
爪	claw,727
妥	gentle,728
乳	milk,729
浮	floating,730
将	leader,731
奨	exhort,732
採	pick,733
菜	vegetable,734
受	accept,735
授	impart,736
愛	love,737
払	pay,738
広	wide,739
拡	broaden,740
鉱	mineral,741
弁	valve,742
雄	male,743
台	pedestal,744
怠	neglect,745
治	reign,746
始	commence,747
胎	womb,748
窓	window,749
去	gone,750
法	method,751
会	meeting,752
至	climax,753
室	room,754
到	arrival,755
致	doth,756
互	mutually,757
棄	abandon,758
育	bring up,759
撤	remove,760
充	allot,761
銃	gun,762
硫	sulfur,763
流	current,764
允	license,765
唆	tempt,766
出	exit,767
山	mountain,768
拙	bungling,769
岩	boulder,770
炭	charcoal,771
岐	branch off,772
峠	mountain pass,773
崩	crumble,774
密	secrecy,775
蜜	honey,776
嵐	storm,777
崎	promontory,778
入	enter,779
込	crowded,780
分	part,781
貧	poverty,782
頒	partition,783
公	public,784
松	pine tree,785
翁	venerable old man,786
訟	sue,787
谷	valley,788
浴	bathe,789
容	contain,790
溶	melt,791
欲	longing,792
裕	abundant,793
鉛	lead (metal),794
沿	run alongside,795
賞	prize,796
党	party,797
堂	hall,798
常	usual,799
裳	skirt,800
掌	manipulate,801
皮	pelt,802
波	waves,803
婆	old woman,804
披	expose,805
破	rend,806
被	incur,807
残	remainder,808
殉	martyrdom,809
殊	particularly,810
殖	augment,811
列	file,812
裂	split,813
烈	ardent,814
死	death,815
葬	interment,816
瞬	wink,817
耳	ear,818
取	take,819
趣	gist,820
最	utmost,821
撮	snapshot,822
恥	shame,823
職	post,824
聖	holy,825
敢	daring,826
聴	listen,827
懐	pocket,828
慢	ridicule,829
漫	loose,830
買	buy,831
置	placement,832
罰	penalty,833
寧	rather,834
濁	voiced,835
環	ring,836
還	send back,837
夫	husband,838
扶	aid,839
渓	mountain stream,840
規	standard,841
替	exchange,842
賛	approve,843
潜	submerge,844
失	lose,845
鉄	iron,846
迭	alternate,847
臣	retainer,848
姫	princess,849
蔵	storehouse,850
臓	entrails,851
賢	intelligent,852
堅	strict,853
臨	look to,854
覧	perusal,855
巨	gigantic,856
拒	repel,857
力	power,858
男	man,859
労	labor,860
募	recruit,861
