乙	latter/fish guts-おつ
一	one-いち
人	person-じん
入	enter<span class='kdom'>にゅう</span>
八	eight<span class='kall'>はち</span>
七	seven<span class='kall'>なな</span>
十	ten<span class='kall'>じゅう</span>
丁	street-ちょう
力	power-りょく
九	nine<span class='kall'>きゅう</span>
刀	katana/sword<span class='kall'>とう</span>
了	finish/complete<span class='kall'>りょう</span>
二	two<span class='kdom'>に</span>
又	again/or again-
亡	deceased<span class='kall'>ぼう</span>
士	gentleman<span class='kdom'>し</span>
工	craft<span class='kdom'>こう</span>
土	soil<span class='kdom'>ど</span>
子	child-し
才	geniu/genius-さい
寸	measurement<span class='kall'>すん</span>
女	woman-じょ
乞	beg<span class='kall'>こ</span>
凡	ordinary/mediocre<span class='kall'>ぼん</span>
上	up/above<span class='kdom'>じょう</span>
下	down/below-か
山	mountain-やま
口	mouth-こう
小	small/little-こ
川	river/stream-かわ
干	dry-かん
千	thousand-せん
巾	towel/<span class='kall'>きん</span>
夕	evening<span class='kdom'>ゆう</span>
及	lead up to/reach out<span class='kall'>きゅう</span>
己	self-こ
久	long time-きゅう
与	give/bestow<span class='kall'>よ</span>
弓	bow<span class='kall'>ゆみ</span>
丈	length-じょう
大	big/large-だい
三	three<span class='kdom'>さん</span>
万	ten thousand-ばん
丸	round-まる
刃	blade<span class='kall'>は</span>
午	noon<span class='kall'>ご</span>
牛	cow-うし
王	king<span class='kdom'>おう</span>
区	district/ward<span class='kall'>く</span>
凶	evil/villain<span class='kall'>きょう</span>
匹	equal<span class='kall'>ひき</span>
太	fat/plump<span class='kdom'>たい</span>
夫	husband-ふ
犬	dog-いぬ
天	heaven/heavens<span class='kall'>てん</span>
日	sun/day-にち
月	moon/month-げつ
円	yen/circle<span class='kall'>えん</span>
比	compare<span class='kdom'>ひ</span>
匂	smell/-
仇	foe/-
化	change<span class='kdom'>か</span>
水	water-すい
木	tree-き
不	negative<span class='kall'>ふ</span>
尺	foot length/shaku<span class='kall'>しゃく</span>
中	in<span class='kdom'>ちゅう</span>
戸	door-と
方	direction-ほう
切	cut-せつ
分	part<span class='kdom'>ぶん</span>
幻	illusion/phantasm-げん
仏	buddha<span class='kdom'>ぶつ</span>
公	public<span class='kdom'>こう</span>
支	support/branch<span class='kall'>し</span>
反	oppose/anti <span class='kdom'>はん</span>
友	friends/friend-ゆう
文	sentence<span class='kdom'>ぶん</span>
父	father-ふ
厄	unlucky<span class='kall'>やく</span>
収	income<span class='kall'>しゅう</span>
五	five<span class='kall'>ご</span>
井	water well/well-い
互	together/mutually<span class='kall'>ご</span>
内	inside<span class='kdom'>ない</span>
欠	lack<span class='kall'>けつ</span>
火	fire-か
心	heart-しん
今	now<span class='kdom'>こん</span>
乏	poverty/destitution<span class='kall'>ぼう</span>
双	pair-そう
牙	fang/tusk-きば
介	jammed in<span class='kall'>かい</span>
片	one side/one sided-かた
元	origin/beginning-げん
六	six<span class='kall'>ろく</span>
氏	surname/family name<span class='kdom'>し</span>
冗	superfluou/superfluous<span class='kall'>じょう</span>
止	stop<span class='kall'>し</span>
予	beforehand<span class='kall'>よ</span>
弔	condolence/condolences<span class='kall'>ちょう</span>
刈	trim/reap-
毛	hair/fur-もう
手	hand-て
引	pull-いん
少	few<span class='kall'>しょう</span>
爪	nail/claw<span class='kall'>つめ</span>
叩	bash/-
右	right-みぎ
古	old<span class='kdom'>こ</span>
石	rock/stone-せき
兄	older brother/elder brother-けい
召	seduce<span class='kall'>しょう</span>
叶	fulfill/-
占	fortune telling-せん
叱	scolded/-
加	adding/add<span class='kall'>か</span>
台	pedestal-だい
申	statement/speaketh-しん
由	reason/wherefore-ゆう
甲	armor-こう
田	ricefield/rice field-でん
払	pay-
広	broad/wide-こう
弁	speech/valve<span class='kall'>べん</span>
用	utilize<span class='kall'>よう</span>
皿	plate/dish-ざら
冊	book volume/tome-さつ
旦	dawn/nightbreak<span class='kall'>たん</span>
旧	old time/olden times<span class='kall'>きゅう</span>
白	white-はく
目	eye-め
主	master/lord-しゅ
生	life-せい
玉	ball/jewel-ぎょく
未	not yet<span class='kall'>み</span>
末	end of/extremity-まつ
