乙	latter/fish guts-おつ
一	one-いち
人	person-じん
入	+enter-にゅう
八	!eight-はち
七	!seven-なな
十	!ten-じゅう
丁	street-ちょう
力	power-りょく
九	!nine-きゅう
刀	!katana/sword-とう
了	!finish/complete-りょう
二	+two-に
又	_again/or again-None
亡	!deceased-ぼう
士	+gentleman-し
工	+craft-こう
土	+soil-ど
子	child-し
才	geniu/genius-さい
寸	!measurement-すん
女	woman-じょ
乞	!beg-こ
凡	!ordinary/mediocre-ぼん
上	+up/above-じょう
下	down/below-か
山	mountain-やま
口	mouth-こう
小	small/little-こ
川	river/stream-かわ
干	dry-かん
千	thousand-せん
巾	!towel/-きん
夕	+evening-ゆう
及	!lead up to/reach out-きゅう
己	self-こ
久	long time-きゅう
与	!give/bestow-よ
弓	!bow-ゆみ
丈	length-じょう
大	big/large-だい
三	+three-さん
万	ten thousand-ばん
丸	round-まる
刃	!blade-は
午	!noon-ご
牛	cow-うし
王	+king-おう
区	!district/ward-く
凶	!evil/villain-きょう
匹	!equal-ひき
太	+fat/plump-たい
夫	husband-ふ
犬	dog-いぬ
天	!heaven/heavens-てん
日	sun/day-にち
月	moon/month-げつ
円	!yen/circle-えん
比	+compare-ひ
匂	_smell/-None
仇	_foe/-None
化	+change-か
水	water-すい
木	tree-き
不	!negative-ふ
尺	!foot length/shaku-しゃく
中	+in-ちゅう
戸	door-と
方	direction-ほう
切	cut-せつ
分	+part-ぶん
幻	illusion/phantasm-げん
仏	+buddha-ぶつ
公	+public-こう
支	!support/branch-し
反	+oppose/anti -はん
友	friends/friend-ゆう
文	+sentence-ぶん
父	father-ふ
厄	!unlucky-やく
収	!income-しゅう
五	!five-ご
井	water well/well-い
互	!together/mutually-ご
内	+inside-ない
欠	!lack-けつ
火	fire-か
心	heart-しん
今	+now-こん
乏	!poverty/destitution-ぼう
双	pair-そう
牙	fang/tusk-きば
介	!jammed in-かい
片	one side/one sided-かた
元	origin/beginning-げん
六	!six-ろく
氏	+surname/family name-し
冗	!superfluou/superfluous-じょう
止	!stop-し
予	!beforehand-よ
弔	!condolence/condolences-ちょう
刈	_trim/reap-None
毛	hair/fur-もう
手	hand-て
引	pull-いん
少	!few-しょう
爪	!nail/claw-つめ
叩	_bash/-None
右	right-みぎ
古	+old-こ
石	rock/stone-せき
兄	older brother/elder brother-けい
召	!seduce-しょう
叶	_fulfill/-None
占	fortune telling-せん
叱	_scolded/-None
加	!adding/add-か
台	pedestal-だい
申	statement/speaketh-しん
由	reason/wherefore-ゆう
甲	armor-こう
田	ricefield/rice field-でん
払	_pay-None
広	broad/wide-こう
弁	!speech/valve-べん
用	!utilize-よう
皿	plate/dish-ざら
冊	book volume/tome-さつ
旦	!dawn/nightbreak-たん
旧	!old time/olden times-きゅう
白	white-はく
目	eye-め
主	master/lord-しゅ
生	life-せい
玉	ball/jewel-ぎょく
未	!not yet-み
末	end of/extremity-まつ
半	!half-はん
失	!lose-しつ
矢	!dart-や
本	+book-ほん
犯	+crime-はん
代	+subtitute/substitute-だい
汁	!soup-じゅう
刊	!publish-かん
庁	!government office-ちょう
令	!order/orders-れい
巨	!gigantic-きょ
央	!center-おう
史	!history-し
礼	!salute/salutation-れい
付	attach/adhere-ふ
札	tag-さつ
丼	_bowl/-None
他	!another/other-た
世	generation-せ
瓦	tile-かわら
丘	hill-きゅう
北	north-ほく
巧	!skillfully/adroit-こう
写	!copy-しゃ
号	!title/nickname-ごう
必	!certain/invariably-ひつ
氷	ice/icicle-ひょう
永	!eternity-えい
四	four-し
母	mother/mama-ぼ
囚	!captured-しゅう
立	stand up-りつ
平	+flat/even-へい
正	correct-せい
幼	+childhood/infancy-よう
功	+achievement-こう
玄	!profound/mysterious-げん
市	!city/market-し
左	left-ひだり
布	cloth/linen-ふ
司	+director-し
可	!can-か
句	!phrase-く
民	!people-みん
尻	_buttock/-None
込	_crowded-None
辺	vicinity/environs-べ
仙	!hermit-せん
打	!strike-だ
矛	spear/halberd-ほこ
圧	!pressure-あつ
仕	+serving/attend-し
去	+gone-きょ
処	!dispose-しょ
奴	guy-ど
皮	leather/pelt-ひ
以	!by means of-い
